	host_response_rate	host_listings_count	host_verificationCount	host_since_deltaDays	calculated_host_listings_count	latitude	longitude	accommodates	bathrooms	bedrooms	beds	price	weekly_price	security_deposit	cleaning_fee	guests_included	extra_people	minimum_nights	maximum_nights	number_of_reviews	last_review_deltaDays	first_review_deltaDays	review_scores_rating	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	reviews_per_month	performance
2947	4.6151204	1.609438	5	240.0	1.609438	47.619934	-122.318344	1.609438	0.6931472	1.0986123	1.0986123	5.075174	6.4785094	5.525453	3.713572	0.6931472	0.0	0.6931472	7.026427	2.944439	4.276666119016055	5.389071729816501	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.2441546	5.5134287
2948	4.6151204	0.6931472	4	115.0	0.6931472	47.62589	-122.31666	1.0986123	0.6931472	0.6931472	0.6931472	4.836282	6.4785094	5.3033047	3.9318256	0.6931472	0.0	2.0794415	4.5108595	2.1972246	3.828641396489095	4.553876891600541	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.2612978	5.5373344
2950	4.6151204	0.6931472	4	132.0	0.6931472	47.62397	-122.31446	1.0986123	0.6931472	0.6931472	0.6931472	4.7095304	6.398595	5.3033047	3.9318256	0.6931472	0.0	0.6931472	7.026427	1.0986123	4.6443908991413725	4.663439094112067	4.5108595	2.3025851	2.3025851	2.3978953	2.3978953	2.3978953	2.3978953	0.4510756	3.9569964
2953	4.6151204	2.1972246	4	1580.0	2.0794415	47.62202	-122.32398	1.609438	0.6931472	0.6931472	0.6931472	4.787492	6.7923446	5.3033047	4.4886365	0.6931472	0.0	1.0986123	5.902633	3.7376697	3.332204510175204	7.129297548929373	4.553877	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	0.6881347	4.543933
2956	4.6151204	0.6931472	5	717.0	0.6931472	47.619953	-122.31649	1.0986123	0.6931472	0.6931472	0.6931472	4.6151204	6.4785094	5.3033047	3.2580965	0.6931472	0.0	0.6931472	7.026427	2.3978953	5.41610040220442	5.713732805509369	4.553877	2.3978953	2.3025851	2.3025851	2.3025851	2.3978953	2.3025851	0.6881347	4.543933
2957	4.6151204	0.6931472	4	1096.0	0.6931472	47.617447	-122.32678	1.0986123	1.0986123	1.0986123	1.0986123	5.0172796	6.4785094	5.3033047	3.9318256	0.6931472	0.0	2.3978953	7.026427	1.0986123	4.867534450455582	5.332718793265369	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.25464222	3.4011974
2958	4.6151204	0.6931472	5	402.0	0.6931472	47.6187	-122.32182	1.609438	0.6931472	0.6931472	1.0986123	4.75359	6.4785094	5.3033047	3.9318256	1.0986123	1.7917595	0.6931472	1.0986123	1.0986123	4.1588830833596715	4.174387269895637	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.6523252	4.5325994
2959	4.6151204	1.0986123	5	656.0	1.0986123	47.622967	-122.31892	1.0986123	0.6931472	0.6931472	0.6931472	4.9416423	6.7464123	5.3033047	3.583519	0.6931472	0.0	0.6931472	3.4339871	3.218876	4.653960350157523	5.41610040220442	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.4350846	5.771441
2960	4.4308167	0.6931472	6	628.0	0.6931472	47.622116	-122.32803	1.609438	0.6931472	0.0	1.0986123	4.6151204	6.903747	4.564348	3.4339871	0.6931472	2.7725887	0.6931472	7.026427	2.0794415	4.584967478670572	5.017279836814924	4.465908	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.1972246	0.87129337	4.7919817
2961	4.465908	1.7917595	6	895.0	0.6931472	47.620266	-122.32453	2.1972246	1.0986123	1.0986123	1.3862944	5.7071104	6.4785094	6.685861	5.0172796	1.3862944	3.2580965	1.0986123	7.026427	1.0986123	4.882801922586371	5.318119993844216	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.25464222	3.4011974
2962	4.6151204	1.3862944	5	504.0	1.3862944	47.619152	-122.312874	1.0986123	0.6931472	0.0	0.6931472	4.59512	6.4785094	5.3033047	3.2580965	0.6931472	0.0	1.0986123	7.026427	1.0986123	0.6931471805599453	1.791759469228055	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.0986123	5.3033047
2963	4.6151204	0.6931472	3	1368.0	0.6931472	47.619537	-122.31329	1.7917595	0.6931472	1.609438	1.609438	5.3033047	7.09091	5.525453	4.6151204	0.6931472	0.0	0.6931472	7.026427	0.6931472	4.852030263919617	4.852030263919617	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.20701417	3.1780539
2965	4.6151204	0.6931472	5	449.0	0.6931472	47.624165	-122.32463	1.0986123	0.6931472	0.6931472	0.6931472	4.1108737	6.4785094	5.3033047	3.9318256	0.6931472	0.0	0.6931472	7.026427	2.7080503	4.02535169073515	5.641907070938114	4.5325994	2.3025851	2.3025851	2.3978953	2.3978953	2.3978953	2.3978953	0.9122827	4.927833
2966	4.6151204	1.0986123	5	197.0	1.0986123	47.618988	-122.315704	1.3862944	0.6931472	0.6931472	1.0986123	4.9767337	6.4785094	4.6151204	3.9318256	1.0986123	3.0445225	0.6931472	7.026427	3.8286414	2.772588722239781	5.267858159063328	4.59512	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	2.074429	6.526612
2967	4.6151204	0.6931472	5	649.0	0.6931472	47.622135	-122.32831	1.0986123	0.6931472	0.0	0.6931472	4.7095304	6.4785094	5.3033047	3.0445225	0.6931472	0.0	1.0986123	7.026427	2.7725887	5.214935757608986	6.436150368369428	4.5849676	2.3978953	2.3025851	2.3978953	2.3978953	2.3978953	2.3025851	0.5423243	4.2604237
2968	4.6151204	0.6931472	5	1008.0	0.6931472	47.62437	-122.31449	1.0986123	0.6931472	0.6931472	0.6931472	4.5108595	6.216606	5.3033047	3.9318256	0.6931472	0.0	0.6931472	7.026427	1.3862944	4.663439094112067	4.927253685157205	4.6151204	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	0.5007753	4.189655
2969	4.6151204	0.6931472	6	433.0	0.6931472	47.617634	-122.31479	1.609438	0.6931472	0.6931472	0.6931472	5.247024	6.4785094	5.3033047	3.9318256	1.0986123	3.0445225	1.0986123	7.026427	1.0986123	5.0689042022202315	5.087596335232384	4.6151204	2.3978953	2.3978953	2.3978953	2.1972246	2.3978953	2.3978953	0.31481075	3.637586
2970	4.6151204	1.0986123	6	1083.0	1.0986123	47.61373	-122.31718	1.0986123	0.6931472	0.6931472	0.6931472	4.6051702	6.4785094	4.6151204	3.9318256	0.6931472	0.0	1.3862944	7.026427	1.0986123	4.584967478670572	4.77912349311153	4.6151204	2.3025851	2.3978953	2.3978953	2.3978953	2.3978953	2.3025851	0.4054651	3.9318256
2972	4.6151204	0.6931472	5	504.0	0.6931472	47.676567	-122.39043	1.3862944	0.91629076	0.6931472	1.3862944	4.787492	6.4785094	5.3033047	3.0445225	1.0986123	3.0445225	0.6931472	7.026427	3.5263605	4.634728988229636	5.389071729816501	4.574711	2.3978953	2.3025851	2.3978953	2.3978953	2.3978953	2.3025851	1.7083778	6.075162
2973	4.6151204	0.6931472	5	1670.0	0.6931472	47.67876	-122.38309	1.0986123	0.6931472	0.0	0.6931472	4.394449	6.4785094	5.3033047	2.3978953	1.0986123	3.2580965	0.6931472	7.026427	2.3025851	3.6375861597263857	4.59511985013459	4.59512	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	2.3978953	1.3164083	5.593
